,Model Name,Mean Accuracy,Std Accuracy
0,LinearSVM,1.0,0.0
1,Logistic Regression,0.825297619047619,0.015048658166854191
2,Random Forest,0.9029761904761905,0.015253278645859208
3,Random Forest Tuned,0.8485119047619047,0.019863578728143146
